見せる,みせる,to show; to display
コート,,"coat / court (i.e. tennis, basketball, etc.)"
コーヒー,珈琲,coffee
コップ,,glass (drinking vessel); tumbler / cop (police officer)
コピー,,copy; photocopy / blurb on a book jacket / catch copy
シャツ,,"shirt (underwear); undershirt; singlet / shirt (outerwear, esp. dress shirt)"
シャワー,,shower
スカート,,skirt
ストーブ,,(room) heater; stove
スプーン,,spoon
スポーツ,,sport; sports
スリッパ,,slipper; slippers
ズボン,,trousers; pants
セーター,,sweater; jumper
タクシー,,taxi
テーブル,,table
テープ,,tape
テープレコーダー,,tape recorder
テスト,,test
テレビ,,television; TV / TV program; TV programme; TV broadcast
デパート,,department store / department
トイレ,,toilet; restroom; bathroom; lavatory
ドア,,door (Western-style)
ナイフ,,knife
ニュース,,news
ネクタイ,,tie; necktie
ノート,,notebook; copy-book; exercise book / note; noting down / (musical) note / notebook computer; laptop
ハンカチ,,handkerchief
バス,,bus / bath / bass
バター,,butter
パーティ,,party
パン,,bread; pastries (e.g. croissants); pastry-based products / pan; frying pan / panning (in a film)
フィルム,,film
フォーク,,fork / folk; folk song / hawk
プール,,(swimming) pool / pool (billiards) / pool (together)
ベッド,,bed
ページ,頁,page
ペン,,pen
ホテル,,hotel
ボールペン,,ball-point pen
ボタン,,button
ポケット,,pocket
ポスト,,postbox; mail box; pillar box / post; position / post (e.g. goalpost) / post- (e.g. post-Cold War)
マッチ,燐寸,match (to light fire with)
メートル,米,metre; meter / meter; gauge
ラジオ,,radio
レコード,,record (e.g. LP) / record (e.g. in sports) / record (data structure)
レストラン,,restaurant (esp. Western-style)
ワイシャツ,Ｙシャツ,shirt; business shirt; dress shirt
ちょっと,一寸,a little; a bit; slightly / just a minute; for a moment; briefly / somewhat; rather; fairly; pretty; quite / (not) easily; (not) readily / hey!; excuse me
他,ほか,"other (place, thing, person); the rest / outside; beyond / nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to) / besides...; in addition to..."
十日,とおか,the tenth day of the month / ten days
答える,こたえる,to answer; to reply
いる,要る,to be needed; to be wanted
一日,いちにち,one day / first day of the month
開く,あく,"to open (e.g. doors) / to open (e.g. business, etc.) / to be empty / to be vacant; to be available; to be free / to be open (e.g. neckline, etc.) / to have been opened (of one's eyes, mouth, etc.) / to come to an end / to open (one's eyes, mouth, etc.) / to have a hole; to form a gap; to have an interval (between events)"
朝ご飯,あさごはん,breakfast
聞く,きく,to hear / to listen (e.g. to music) / to ask; to enquire; to query / to learn of; to hear about / to follow (advice); to comply with / to smell (esp. incense); to sample fragrance
きれい,奇麗,pretty; lovely; beautiful; fair / clean; clear; pure; tidy; neat / completely; entirely
一日,ついたち,first day of the month / first ten days of the lunar month
あそこ,彼処,there (place physically distant from both speaker and listener); over there; that place; yonder; you-know-where / genitals; private parts / that far (something psychologically distant from both speaker and listener); that much; that point
あれ,彼,"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly) / that person (used to refer to one's equals or inferiors) / over there / down there (i.e. one's genitals) / period; menses / hey (expression of surprise, suspicion, etc.); huh?; eh? / that (something mentioned before which is distant psychologically or in terms of time)"
ええ,,yes; that is correct; right / um; errr / huh? / grrr; gah; Must I? / good
お菓子,おかし,confections; sweets; candy
お兄さん,おにいさん,older brother; elder brother / young man; buddy; fella; laddie
お姉さん,おねえさん,elder sister / young lady / miss / ma'am / older girl
お手洗い,おてあらい,toilet; restroom; lavatory; bathroom
おじいさん,お祖父さん,grandfather / male senior-citizen
おばあさん,お祖母さん,grandmother / old woman; female senior citizen
お腹,おなか,belly; abdomen; stomach
こちら,此方,this way (direction close to the speaker or towards the speaker); this direction / here (place close to the speaker or where the speaker is) / this one (something physically close to the speaker) / I; me; we; us / this person (someone physically close to the speaker and of equal or higher status)
こんな,,"such (about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker); like this"
さあ,,come; come now; come along; go on; hurry up / well; who knows; I don't know...; uh; hmm / well now; let's see; there we go; all right / about that; you see
じゃあ,,then; well; so; well then / combination of 'de' and 'wa' particles / plain copula
そちら,其方,"that way (direction distant from the speaker, close to the listener) / there (place distant from the speaker, close to the listener) / that one (something close to the listener) / you; your family; your company / that person (someone close to the listener)"
それ,其れ,"that (indicating an item or person near the listener, the action of the listener, or something on their mind); it / that time; then / there (indicating a place near the listener) / you"
それから,其れから,and then; after that
つまらない,詰らない,dull; uninteresting; boring; tedious / insignificant; unimportant; trifling; trivial; worthless / absurd; foolish; silly; stupid / useless; pointless; disappointing
では,,then; well; so; well then
とても,迚も,very; awfully; exceedingly / (not) at all; by no means; simply (cannot)
どう,如何,how; in what way; how about
どうも,,"thank you; thanks / much (thanks); very (sorry); quite (regret) / quite; really; mostly / somehow / in spite of oneself; try as one might; no matter how hard one may try (to, not to) / greetings; hello; goodbye"
どれ,何れ,which (of three or more) / whichever; any / well; now; let me see
もう,,now; soon; shortly; before long; presently / already; yet; by now; (not) anymore / further; more; again; another; the other / tsk; dammit; jeez; come on
もっと,,(some) more; even more; longer; further
やる,遣る,"to do; to undertake; to perform; to play (a game); to study / to send; to dispatch; to despatch / to put; to move; to turn (one's head, glance, etc.) / to give (esp. to someone of equal or lower status); to let have; to present; to bestow; to confer / to make (a vehicle) go faster / to run (a business); to keep; to be engaged in; to practice (law, medicine, etc.); to practise / to have (food, drink, etc.); to eat; to drink; to smoke / to hold (a performance); to perform; to show / to ease (one's mind) / to harm; to injure; to kill / to have sex with / to live; to get by; to get along / to do ... completely / to do ... broadly; to do ... to a great distance / to do ... for (someone of equal or lower status); to do ... to (sometimes with negative nuance) / to make active efforts to ..."
ゆっくり,,slowly; at ease; restful
より,,than / from; out of; since; at; on / except; but; other than / more
する,為る,"to do; to carry out; to perform / to cause to become; to make (into); to turn (into) / to serve as; to act as; to work as / to wear (clothes, a facial expression, etc.) / to judge as being; to view as being; to think of as; to treat as; to use as / to decide on; to choose / to be sensed (of a smell, noise, etc.) / to be (in a state, condition, etc.) / to be worth; to cost / to pass (of time); to elapse / to place, or raise, person A to a post or status B / to transform A to B; to make A into B; to exchange A for B / to make use of A for B; to view A as B; to handle A as if it were B / to feel A about B / verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs") / creates a humble verb (after a noun prefixed with "o" or "go") / to be just about to; to be just starting to; to try to; to attempt to"
引く,ひく,"to pull; to tug; to lead (e.g. a horse) / to draw (attention, sympathy, etc.); to attract (e.g. interest) / to draw back (e.g. one's hand); to draw in (one's chin, stomach, etc.); to pull in / to draw (a card, mahjong tile, etc.) / to draw (a line, plan, etc.) / to catch (a cold) / to play (a stringed or keyboard instrument) / to look up (e.g. a dictionary); to consult / to haul; to pull (vehicles) / to subtract; to deduct / to recede; to ebb; to fade / to be descend from; to inherit (a characteristic) / to quote; to cite; to raise (as evidence) / to lay on (electricity, gas, etc.); to install (e.g. a telephone); to supply (e.g. water) / to hold (e.g. a note) / to apply (e.g. lipstick); to oil (e.g. a pan); to wax (e.g. a floor) / to move back; to draw back; to recede / to lessen; to subside; to ebb / to resign; to retire; to quit"
奥さん,おくさん,wife; your wife; his wife; married lady; madam
ぬるい,温い,lukewarm; tepid / lenient / slow; stupid
下,した,below; down; under; younger (e.g. daughter) / bottom / beneath; underneath / just after; right after / inferiority; one's inferior (i.e. one's junior) / trade-in / preliminary; preparatory
いつも,何時も,always; usually; every time / never
どうぞ,,please; kindly; I beg of you / by all means; feel free; you are welcome / here you are
どちら,何方,which way; which direction; where / which one (esp. of two alternatives) / who
どなた,何方,who?
家,いえ,house; residence; dwelling / family; household / lineage; family name
開ける,あける,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock / to open (for business, etc.) / to empty; to remove; to make space; to make room / to move out; to clear out / to be away from (e.g. one's house); to leave (temporarily) / to dawn; to grow light / to end (of a period, season) / to begin (of the New Year) / to leave (one's schedule) open; to make time (for) / to make (a hole); to open up (a hole)"
かばん,鞄,bag; satchel; briefcase; basket
あなた,貴方,you (referring to someone of equal or lower status) / dear (what a wife calls a husband)
近く,ちかく,near; neighbourhood; neighborhood; vicinity / nearly (e.g. "it took nearly one year"); close to / shortly; soon
金曜日,きんようび,Friday
九日,ここのか,the ninth day of the month / nine days
空,そら,sky; the air; the heavens / weather / far-off place; distant place / state of mind; feeling / (from) memory; (by) heart / falsehood; lie / somehow; vaguely / fake
月曜日,げつようび,Monday
五日,いつか,the fifth day of the month / five days
好き,すき,liked; well-liked; favourite; favorite / in love (with); loved; romantically interested (in) / faddism; eccentricity / the way one likes; (as) it suits one
ここ,此処,"here (place physically close to the speaker, place pointed by the speaker while explaining); this place / these last (followed by a duration noun and a past sentence: time period before the present time of the speaker) / these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker); the next ..."
咲く,さく,to bloom
三日,みっか,the third day of the month / three days
四日,よっか,fourth day of the month / four days
字引,じびき,dictionary
次,つぎ,next; following; subsequent / stage; station
初めて,はじめて,for the first time / only after ... is it ...; only when ... do you ...
ところ,所,place; spot; scene; site / address / district; area; locality / one's house / point; aspect; side; facet / passage (in text); part / space; room / thing; matter / whereupon; as a result / about to; on the verge of / was just doing; was in the process of doing; have just done; just finished doing
書く,かく,to write; to compose; to pen / to draw; to paint
上,うえ,"above; up; over; elder (e.g. daughter) / top; summit / surface; on / before; previous / superiority; one's superior (i.e. one's elder) / on top of that; besides; what's more / upon (further inspection, etc.); based on (and occurring after) / matters concerning...; as concerns ... / since (i.e. ""for that reason") / suffix indicating higher social standing / place of one's superior (i.e. the throne) / emperor; sovereign; shogun; daimyo / noblewoman (esp. the wife of a nobleman)"
吹く,ふく,to blow (e.g. wind); to play a wind instrument / to whistle / to laugh; to burst into laughter / to smelt; to mint / to brag; to talk big
水曜日,すいようび,Wednesday
生まれる,うまれる,to be born
先,さき,previous; prior; former; first; earlier; some time ago; preceding / point (e.g. pencil); tip; end; nozzle / head (of a line); front / ahead; the other side / the future; hereafter / destination / the other party
前,まえ,ago; before (some event); previously; (minutes) to (the hour) / in front (of); before (e.g. the house) / head (of a line); front (e.g. of a bus); fore part / in the presence of / helping; portion / privates; private parts
それでは,其れでは,well then ... / in that situation; in which case
誕生日,たんじょうび,birthday
弾く,ひく,to play (a stringed or keyboard instrument)
置く,おく,"to put; to place / to leave (behind) / to establish (an organization, a facility, a position, etc.); to set up / to appoint (someone to a certain position); to hire; to employ / to place (one's trust, one's faith, etc); to bear (in mind etc) / to put down a tool (e.g. a pen) hence stopping what one is doing with that tool / to take in (boarders, etc.); to provide lodging in one's house / to separate spatially or temporally / to do something in advance / to leave something in a certain state; to keep something in a certain state"
着く,つく,to arrive at; to reach / to sit on; to sit at (e.g. the table)
中,なか,inside; in / among; within / center (centre); middle / during; while
ちょうど,丁度,exactly; precisely; just; right / as if; as though; quite
土曜日,どようび,Saturday
働く,はたらく,to work; to labor; to labour / to function; to operate; to be effective; to work (i.e. ... works); to come into play / to commit (e.g. a crime); to perpetrate; to do; to act; to practise; to practice / to be conjugated
二日,ふつか,second day of the month / two days
賑やか,にぎやか,bustling; busy; lively
日曜日,にちようび,Sunday
入れる,いれる,"to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo) / to admit; to accept; to employ; to hire / to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to / to include / to pay (one's rent, etc.) / to cast (a vote) / to make (tea, coffee, etc.) / to turn on (a switch, etc.) / to send (a fax); to call"
どうして,如何して,why?; for what reason; how; in what way; for what purpose; what for
八日,ようか,the eighth day of the month / eight days
うるさい,煩い,noisy; loud / annoying; troublesome; tiresome; persistent; importunate / fussy; finicky; picky; particular; nagging; fastidious; bossy / shut up!; be quiet!
おいしい,美味しい,delicious; tasty; sweet / attractive; appealing; convenient; favorable; desirable; profitable
まずい,不味い,unappetising; unappetizing; unsavoury; unsavory; unpleasant / unskillful; unskilful; bungling; clumsy; poor / ugly; unattractive; homely; plain / awkward; problematic; troublesome; unfavorable; unfavourable; unwise
風,かぜ,wind; breeze; draught; draft / manner; behaviour; behavior / cold; influenza
物,もの,"thing; object; article; stuff; substance / one's things; possessions; property; belongings / things; something; anything; everything; nothing / quality / reason; the way of things / used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen / item classified as ...; item related to ...; work of ... / cause of ...; cause for ... / somehow; somewhat; for some reason / really; truly"
しかし,然し,however; but
並べる,ならべる,to line up; to set up; to arrange in a line / to enumerate; to itemize / to be equal (to); to compare well (with); to be as good (as)
歩く,あるく,to walk
方,かた,direction; way / person; lady; gentleman / method of; manner of; way of / care of ... / person in charge of ... / side (e.g. "on my mother's side")
忘れる,わすれる,to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article)
本,ほん,"book; volume; script / this; present / main; head / real; regular / counter for long cylindrical things; counter for films, TV shows, etc.; counter for goals, home runs, etc.; counter for telephone calls"
磨く,みがく,to polish; to shine; to brush (e.g. teeth); to grind (e.g. lens) / to refine (e.g. a skill); to improve; to cultivate
まだ,未だ,as yet; hitherto; only; still / not yet / more; besides / unfinished; incomplete; not yet finished with
なくす,無くす,to lose (something); to mislay / to get rid of; to eliminate; to remove
鳴く,なく,"to sing (bird) / to make sound (animal); to call; to cry; to chirp / to make a meld call (e.g. pung, kong)"
木曜日,もくようび,Thursday
はがき,葉書,postcard / memo; note; card
六日,むいか,sixth day of the month / six days
いる,居る,to be (of animate objects); to exist / to stay / to be ...-ing; to have been ...-ing
行く,いく,to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach / to proceed; to take place / to pass through; to come and go / to walk / to die; to pass away / to do (in a specific way) / to stream; to flow / to continue / to have an orgasm; to come; to cum / to trip; to get high; to have a drug-induced hallucination
七日,なのか,the seventh day of the month / seven days
まっすぐ,真っ直ぐ,straight (ahead); direct; upright; erect / straightforward; honest; frank
人,ひと,man; person / human being; mankind; people / human (Homo sapiens); humans as a species / character; personality / man of talent; true man / another person; other people; others / adult
店,みせ,store; shop; establishment; restaurant
頭,あたま,head / hair (on one's head) / mind; brains; intellect / leader; chief; boss; captain / top; tip / beginning; start / head; person / top structural component of a kanji / pair
この,此の,"this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker)"
八つ,やっつ,eight
万,まん,"10,000; ten thousand / myriad / everything; all / various"
明後日,あさって,day after tomorrow
六つ,むっつ,six
二十歳,はたち,20 years old / twenty
二十日,はつか,twentieth day of the month / twenty days
よく,良く,nicely; properly; well; skillfully; skilfully / frequently; often
履く,はく,"to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.); to put on (or wear) footwear / to affix a sword to one's hip / to affix a bowstring to a bow"
つける,点ける,to turn on; to switch on; to light up
そうして,然うして,and; like that
これ,此れ,"this (indicating an item near the speaker, the action of the speaker, or the current topic) / this person (usu. indicating someone in one's in-group) / now / here / I (me) / certainly"
いい,,"good; excellent; fine; nice; pleasant; agreeable / sufficient (can be used to turn down an offer); ready; prepared / profitable (e.g. deal, business offer, etc.); beneficial / OK"
あの,彼の,"that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)"
あのう,,say; well; errr ...
そこ,其処,there (place relatively near listener) / there (place just mentioned); that place / then (of some incident just spoken of); that (of point just raised) / you
その,其の,"that (something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener); the / um...; er...; uh..."
でも,,but; however; though; nevertheless; still; yet; even so; also; as well / even / however; no matter how; even if; even though / ... or something / either ... or ...; neither ... nor ... / pseudo-; quack; in-name-only / for lack of anything better to do
はい,,yes; that is correct / understood; I see; OK; okay / present; here / pardon?; what's that?; come again? / now; here; here you go / giddy-up; giddap
一月,ひとつき,one month
鶏肉,けいにく,chicken meat
すぐに,直ぐに,immediately; right away; at once; instantly
お弁当,おべんとう,bento; Japanese box lunch
など,等,et cetera; etc.; and the like; and so forth / or something / the likes of
晩御飯,ばんごはん,dinner; evening meal
もう一度,もういちど,once more; again
赤,あか,"red; crimson; scarlet / red-containing colour (e.g. brown, pink, orange) / Red (i.e. communist) / red light (traffic) / red ink (i.e. in finance or proof-reading); (in) the red / complete; total; perfect; obvious / copper"
小さな,ちいさな,small; little; tiny
背,せ,back; spine / reverse; rear side / height; stature / ridge (of a mountain)
ペット,,pet / trumpet
ラジカセ,,radio-cassette player
お皿,おさら,plate; dish
お酒,おさけ,alcohol; sake
昼ご飯,ひるごはん,lunch; midday meal
お風呂,おふろ,bath
おじさん,伯父さん,uncle / old man; mister / manybar goatfish (Parupeneus multifasciatus)
おばさん,伯母さん,aunt
子供,こども,child
七,しち,seven / hepta-
足,あし,foot / leg / gait / pace / bottom structural component (i.e. radical) of a kanji / means of transportation / money; coin
言う,いう,to say; to utter; to declare / to name; to call / to go (e.g. "the alarm went ping"); to make a noise
意味,いみ,meaning; significance; sense
一つ,ひとつ,one / for one thing / only / (not) even / just (e.g. "just try it")
一番,いちばん,number one; first; first place / best; most / game; round; bout / as a test; as an experiment; by way of experiment; by way of trial; tentatively / song (e.g. in noh); piece
右,みぎ,right; right hand side / afore-mentioned (esp. in vertical Japanese writing); foregoing; forgoing; above
映画,えいが,movie; film
音楽,おんがく,music
夏,なつ,summer
家族,かぞく,family; members of a family
家庭,かてい,home; family; household
歌,うた,song / classical Japanese poetry (esp. tanka) / modern poetry
花,はな,flower; blossom; bloom; petal / cherry blossom / beauty / blooming (esp. of cherry blossoms) / ikebana / hanafuda / (the) best / glorious; lovely
会社,かいしゃ,company; corporation / workplace
外国,がいこく,foreign country
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese
学校,がっこう,school
学生,がくせい,student (esp. a university student)
銀行,ぎんこう,bank
